E_x, E_y, E_z
-0.234688+0.53609932i,+0.234688-0.53609932i,-0.6658294-1.4568698i
+0.14938576+0.075946491i,-0.22407864-0.11391974i,+0.062444477-1.5659346i
-0.45162651-0.068616097i,+0.90325303+0.13723219i,+0.66358715+0.64862436i
-0.2978997-0.11892913i,+0.74474926+0.29732281i,+0.71131465-0.1465968i
+0.024257285+0.22543715i,-0.072771856-0.67631145i,-0.45310675-0.41338017i
-0.13659335-0.089762719i,+0.47807672+0.31416952i,+0.022019544+0.56105825i
-0.049920162+0.0045206086i,+0.19968065-0.018082434i,-1.0432362-0.26863609i
-0.00033928502+0.091902242i,+0.0015267826-0.41356009i,+0.49333988-0.13438741i
-0.032075145+0.022691769i,-0.32075145+0.22691769i,+0.32153111+0.17484549i
+0.028322315+0.0029103099i,+0.25490084+0.026192789i,+0.63352304-0.702303i
-0.00017988367+0.059806135i,-0.0014390694+0.47844908i,-0.6329234-0.15154453i
-0.023753256+0.015772213i,-0.1662728+0.11040549i,-0.87566933+0.79307703i
-0.0029159375+0.049809078i,-0.017495625+0.29885447i,+1.0592847+0.61398498i
-0.04259826+0.027298912i,-0.2129913+0.13649456i,-1.1234743-0.76762627i
-0.28317533+0.047917642i,-1.1327013+0.19167057i,+0.89974575-0.035244271i
-0.14923364-0.22906297i,-0.44770091-0.68718892i,+1.5074036+0.08688451i
+0.38448942-0.27110981i,+0.76897885-0.54221963i,-1.6617809-0.020213436i
-0.48028605+0.88124482i,-0.48028605+0.88124482i,+0.36178934-1.5243933i
-1.5650197-0.6957264i,+1.8129428e-15+8.1867163e-16i,+1.1758653+0.60430825i
-0.48028605+0.88124482i,+0.48028605-0.88124482i,+0.36178934-1.5243933i
+0.38448942-0.27110981i,-0.76897885+0.54221963i,-1.6617809-0.020213436i
-0.14923364-0.22906297i,+0.44770091+0.68718892i,+1.5074036+0.08688451i
-0.28317533+0.047917642i,+1.1327013-0.19167057i,+0.89974575-0.035244271i
-0.04259826+0.027298912i,+0.2129913-0.13649456i,-1.1234743-0.76762627i
-0.0029159375+0.049809078i,+0.017495625-0.29885447i,+1.0592847+0.61398498i
-0.023753256+0.015772213i,+0.1662728-0.11040549i,-0.87566933+0.79307703i
-0.00017988367+0.059806135i,+0.0014390694-0.47844908i,-0.6329234-0.15154453i
+0.028322315+0.0029103099i,-0.25490084-0.026192789i,+0.63352304-0.702303i
-3.0495699e-16-8.5779615e-16i,-0.21691442-0.3030445i,-0.36095383+0.35410424i
-2.221371e-16+4.505141e-19i,+0.016954529+0.20467237i,+0.51969448+0.87096738i
-1.1947605e-15-1.8475141e-16i,-0.5252194-0.14751032i,+0.37585943-0.21284609i
-4.6471421e-16+2.4455001e-16i,-0.25548127-0.15771938i,+0.023134189-1.1217931i
+2.9722962e-16+3.1909752e-16i,-0.16712319+0.18025453i,-1.261426-0.05498886i
-1.2816755e-16-1.4808947e-15i,+0.12605237-0.79841741i,+0.74096189+0.64751873i
+1.002247e-15+3.8427296e-16i,+0.53963039-0.090772711i,-0.64376848-1.2799782i
-7.7243706e-16+2.0803431e-15i,-0.35476055+1.3938218i,+0.92399955-0.89969553i
+2.9937017e-15+1.8388506e-16i,+2.2422011+0.11374691i,-1.347424-0.18449655i
-1.9087713e-15-8.6126634e-16i,-1.5650197-0.6957264i,+1.1758653+0.60430825i
-2.3220326-0.0026276248i,+2.0695137e-15+2.341873e-18i,-3.7566377e-16+1.9626388e-17i
+1.7171143e-15+7.7607692e-16i,+1.5650197+0.6957264i,+1.1758653+0.60430825i
-2.7190749e-15-1.6992408e-16i,-2.2422011-0.11374691i,-1.347424-0.18449655i
+7.2894787e-16-1.909563e-15i,+0.35476055-1.3938218i,+0.92399955-0.89969553i
-9.3602969e-16-3.954605e-16i,-0.53963039+0.090772711i,-0.64376848-1.2799782i
+1.438023e-16+1.3830929e-15i,-0.12605237+0.79841741i,+0.74096189+0.64751873i
-3.1790557e-16-2.9714195e-16i,+0.16712319-0.18025453i,-1.261426-0.05498886i
+4.3350934e-16-2.6412516e-16i,+0.25548127+0.15771938i,+0.023134189-1.1217931i
+1.130339e-15+1.6640867e-16i,+0.5252194+0.14751032i,+0.37585943-0.21284609i
+2.2407375e-16+2.4891657e-17i,-0.016954529-0.20467237i,+0.51969448+0.87096738i
+0.032075145-0.022691769i,-0.32075145+0.22691769i,+0.32153111+0.17484549i
-0.028322315-0.0029103099i,+0.25490084+0.026192789i,+0.63352304-0.702303i
+0.00017988367-0.059806135i,-0.0014390694+0.47844908i,-0.6329234-0.15154453i
+0.023753256-0.015772213i,-0.1662728+0.11040549i,-0.87566933+0.79307703i
+0.0029159375-0.049809078i,-0.017495625+0.29885447i,+1.0592847+0.61398498i
+0.04259826-0.027298912i,-0.2129913+0.13649456i,-1.1234743-0.76762627i
+0.28317533-0.047917642i,-1.1327013+0.19167057i,+0.89974575-0.035244271i
+0.14923364+0.22906297i,-0.44770091-0.68718892i,+1.5074036+0.08688451i
-0.38448942+0.27110981i,+0.76897885-0.54221963i,-1.6617809-0.020213436i
+0.48028605-0.88124482i,-0.48028605+0.88124482i,+0.36178934-1.5243933i
+1.5650197+0.6957264i,-1.6212858e-15-7.3348221e-16i,+1.1758653+0.60430825i
+0.48028605-0.88124482i,+0.48028605-0.88124482i,+0.36178934-1.5243933i
-0.38448942+0.27110981i,-0.76897885+0.54221963i,-1.6617809-0.020213436i
+0.14923364+0.22906297i,+0.44770091+0.68718892i,+1.5074036+0.08688451i
+0.28317533-0.047917642i,+1.1327013-0.19167057i,+0.89974575-0.035244271i
+0.04259826-0.027298912i,+0.2129913-0.13649456i,-1.1234743-0.76762627i
+0.0029159375-0.049809078i,+0.017495625-0.29885447i,+1.0592847+0.61398498i
+0.023753256-0.015772213i,+0.1662728-0.11040549i,-0.87566933+0.79307703i
+0.00017988367-0.059806135i,+0.0014390694-0.47844908i,-0.6329234-0.15154453i
-0.028322315-0.0029103099i,-0.25490084-0.026192789i,+0.63352304-0.702303i
+0.04337646+0.064154097i,-0.2168823-0.32077049i,+0.29654251+0.020213575i
+0.00033928502-0.091902242i,-0.0015267826+0.41356009i,+0.49333988-0.13438741i
+0.049920162-0.0045206086i,-0.19968065+0.018082434i,-1.0432362-0.26863609i
+0.13659335+0.089762719i,-0.47807672-0.31416952i,+0.022019544+0.56105825i
-0.024257285-0.22543715i,+0.072771856+0.67631145i,-0.45310675-0.41338017i
+0.2978997+0.11892913i,-0.74474926-0.29732281i,+0.71131465-0.1465968i
+0.45162651+0.068616097i,-0.90325303-0.13723219i,+0.66358715+0.64862436i
-0.14938576-0.075946491i,+0.22407864+0.11391974i,+0.062444477-1.5659346i
+0.234688-0.53609932i,-0.234688+0.53609932i,-0.6658294-1.4568698i
-0.76897885+0.54221963i,+0.38448942-0.27110981i,-1.6617809-0.020213436i
-2.2422011-0.11374691i,+2.5817616e-15+1.629436e-16i,-1.347424-0.18449655i
-0.76897885+0.54221963i,-0.38448942+0.27110981i,-1.6617809-0.020213436i
+0.234688-0.53609932i,+0.234688-0.53609932i,-0.6658294-1.4568698i
-0.14938576-0.075946491i,-0.22407864-0.11391974i,+0.062444477-1.5659346i
+0.45162651+0.068616097i,+0.90325303+0.13723219i,+0.66358715+0.64862436i
+0.2978997+0.11892913i,+0.74474926+0.29732281i,+0.71131465-0.1465968i
-0.024257285-0.22543715i,-0.072771856-0.67631145i,-0.45310675-0.41338017i
+0.13659335+0.089762719i,+0.47807672+0.31416952i,+0.022019544+0.56105825i
+0.049920162-0.0045206086i,+0.19968065-0.018082434i,-1.0432362-0.26863609i
+0.00033928502-0.091902242i,+0.0015267826-0.41356009i,+0.49333988-0.13438741i
+0.065519353-0.014681291i,-0.21839784+0.048937638i,-0.61979238-0.565436i
-0.10935645+0.047183988i,+0.32806936-0.14155196i,+0.22883026+0.57658806i
-0.00021587347-0.17442605i,+0.00057566258+0.46513613i,+0.33298827-0.25407616i
-0.053413218-0.065609038i,+0.12463084+0.15308776i,+0.28690041+1.0885438i
-0.18794187+0.20466199i,+0.37588374-0.40932397i,-0.68142308-0.19274425i
-0.40351184-0.082611694i,+0.67251973+0.13768616i,-0.60331567+0.2064537i
-0.07563142+0.47905045i,+0.10084189-0.63873393i,+0.74096189+0.64751873i
-0.49753926+0.03123434i,+0.49753926-0.03123434i,-0.40477187+1.2367244i
-0.22407864-0.11391974i,+0.14938576+0.075946491i,+0.062444477-1.5659346i
+0.44770091+0.68718892i,-0.14923364-0.22906297i,+1.5074036+0.08688451i
+0.35476055-1.3938218i,-7.0720327e-16+1.8241729e-15i,+0.92399955-0.89969553i
+0.44770091+0.68718892i,+0.14923364+0.22906297i,+1.5074036+0.08688451i
-0.22407864-0.11391974i,-0.14938576-0.075946491i,+0.062444477-1.5659346i
