X,Y,Z,Ex,Ey,Ez
-8,-3,+3,+0.412227-1.24602i,+0.154585-0.467256i,-0.0693621+0.520192i
-8,-2,+3,-2.07245-0.769355i,-0.518112-0.192339i,+0.3177+0.16842i
-8,-1,+3,-0.806012-1.13531i,-0.100751-0.141913i,+0.132901+0.465948i
-8,+0,+3,+1.51541+0.0189157i,+0+0i,-0.551376-0.0888165i
-8,+1,+3,-0.806012-1.13531i,+0.100751+0.141913i,+0.132901+0.465948i
-8,+2,+3,-2.07245-0.769355i,+0.518112+0.192339i,+0.3177+0.16842i
-8,+3,+3,+0.412227-1.24602i,-0.154585+0.467256i,-0.0693621+0.520192i
-8,+4,+3,-0.867104+0.139338i,+0.433552-0.0696688i,+0.00637864+0.0313996i
-8,+5,+3,-0.781765-0.675234i,+0.488603+0.422021i,+0.218228+0.394715i
-8,+6,+3,-0.0272375+0.899909i,+0.0204281-0.674931i,-0.169398-0.371842i
-8,+7,+3,-0.654521-0.20584i,+0.572706+0.18011i,-0.000783342-0.105285i
-8,+8,+3,-0.659885-0.0729599i,+0.659885+0.0729599i,+0.164971+0.01824i
-8,+9,+3,+0.154085+0.595505i,-0.173346-0.669943i,-0.103389-0.349633i
-7,-10,+3,+0.127437+0.422543i,+0.182053+0.603633i,-0.0990926-0.0558494i
-7,-9,+3,+0.572139-0.0111603i,+0.735607-0.014349i,-0.163468+0.00318866i
-7,-8,+3,-1.33421-0.540223i,-1.52481-0.617398i,+0.468049+0.235833i
-7,-7,+3,+0.622141-0.500079i,+0.622141-0.500079i,-0.297102+0.0776585i
-7,-6,+3,-0.0303514-0.124037i,-0.0260155-0.106317i,+0.0628599+0.253605i
-7,-5,+3,-1.13628+0.200807i,-0.811626+0.143434i,+0.533468-0.0992536i
-7,-4,+3,-0.70526-0.993394i,-0.403006-0.567654i,+0.132901+0.465948i
-7,-3,+3,+0.0992826+0.977799i,+0.0425497+0.419057i,+0.0415789-0.121873i
-7,-2,+3,+0.936596+1.28313i,+0.267599+0.366608i,-0.40866-0.419226i
-7,-1,+3,-0.765169+0.77609i,-0.10931+0.11087i,+0.112312-0.139276i
-7,+0,+3,+0.504956-1.09743i,+0+0i,-0.201341+0.198263i
-7,+1,+3,-0.765169+0.77609i,+0.10931-0.11087i,+0.112312-0.139276i
-7,+2,+3,+0.936596+1.28313i,-0.267599-0.366608i,-0.40866-0.419226i
-7,+3,+3,+0.0992826+0.977799i,-0.0425497-0.419057i,+0.0415789-0.121873i
-7,+4,+3,-0.70526-0.993394i,+0.403006+0.567654i,+0.132901+0.465948i
-7,+5,+3,-1.13628+0.200807i,+0.811626-0.143434i,+0.533468-0.0992536i
-7,+6,+3,-0.0303514-0.124037i,+0.0260155+0.106317i,+0.0628599+0.253605i
-7,+7,+3,+0.403816-0.620814i,-0.403816+0.620814i,+0.0849658+0.288944i
-7,+8,+3,-1.18915-0.402689i,+1.35903+0.460216i,+0.175343-0.0416905i
-7,+9,+3,+0.572139-0.0111603i,-0.735607+0.014349i,-0.163468+0.00318866i
-6,-10,+3,-0.537372+0.070452i,-0.895621+0.11742i,+0.263353+0.0288213i
-6,-9,+3,-0.540855+0.0403774i,-0.811283+0.0605661i,+0.200175+0.0999731i
-6,-8,+3,-0.180117+0.542626i,-0.240156+0.723501i,+0.163287-0.096206i
