X,Y,Z,Ex,Ey,Ez
+0,+100,+3,-9.17448e-20+1.81566e-19i,-0.000401478+0.00232711i,+0.0242786+0.0905085i
+0,+101,+3,-9.24362e-20+1.66011e-19i,-0.000391788+0.00219302i,+0.0258744+0.089541i
+0,+102,+3,-9.18907e-20+1.51015e-19i,-0.000374005+0.00206323i,+0.0274098+0.0885572i
+0,+103,+3,-9.02529e-20+1.36659e-19i,-0.00034913+0.0019383i,+0.0288877+0.0875539i
+0,+104,+3,-8.76626e-20+1.23005e-19i,-0.000318126+0.00181863i,+0.0303107+0.0865285i
+0,+105,+3,-8.42527e-20+1.10093e-19i,-0.000281913+0.00170451i,+0.0316815+0.0854791i
+0,+106,+3,-8.01481e-20+9.79503e-20i,-0.000241354+0.00159609i,+0.0330027+0.0844041i
+0,+107,+3,-7.54653e-20+8.65868e-20i,-0.00019725+0.00149346i,+0.0342769+0.0833025i
+0,+108,+3,-7.03114e-20+7.6003e-20i,-0.000150343+0.00139661i,+0.0355064+0.0821734i
+0,+109,+3,-6.47846e-20+6.61892e-20i,-0.000101308+0.00130545i,+0.0366935+0.0810166i
+0,+110,+3,-5.89736e-20+5.7128e-20i,-5.0756e-05+0.00121986i,+0.0378402+0.079832i
+0,+111,+3,-5.29584e-20+4.87958e-20i,+7.63205e-07+0.00113966i,+0.0389485+0.0786198i
+0,+112,+3,-4.68102e-20+4.11644e-20i,+5.27608e-05+0.00106466i,+0.0400201+0.0773802i
+0,+113,+3,-4.05919e-20+3.42017e-20i,+0.000104805+0.000994625i,+0.0410567+0.076114i
+0,+114,+3,-3.43589e-20+2.78733e-20i,+0.000156518+0.000929303i,+0.0420595+0.0748218i
+0,+115,+3,-2.81592e-20+2.21431e-20i,+0.000207572+0.000868441i,+0.0430299+0.0735044i
+0,+116,+3,-2.20343e-20+1.69742e-20i,+0.000257686+0.000811774i,+0.0439691+0.0721627i
+0,+117,+3,-1.60193e-20+1.23292e-20i,+0.000306622+0.000759039i,+0.0448778+0.0707979i
+0,+118,+3,-1.01439e-20+8.17123e-21i,+0.000354179+0.000709973i,+0.0457571+0.0694109i
+0,+119,+3,-4.43273e-21+4.46378e-21i,+0.000400193+0.000664317i,+0.0466075+0.0680029i
+0,+120,+3,+1.09411e-21+1.17151e-21i,+0.000444533+0.00062182i,+0.0474297+0.0665749i
+0,+121,+3,+6.42066e-21-1.73974e-21i,+0.000487092+0.000582242i,+0.0482242+0.0651283i
+0,+122,+3,+1.15346e-20-4.30272e-21i,+0.000527793+0.00054535i,+0.0489913+0.0636641i
+0,+123,+3,+1.64266e-20-6.54858e-21i,+0.000566578+0.000510923i,+0.0497314+0.0621835i
+0,+124,+3,+2.10905e-20-8.50683e-21i,+0.000603409+0.000478754i,+0.0504447+0.0606877i
+0,+125,+3,+2.55223e-20-1.02053e-20i,+0.000638267+0.000448645i,+0.0511313+0.0591778i
+0,+126,+3,+2.97203e-20-1.16699e-20i,+0.000671146+0.000420413i,+0.0517914+0.0576551i
+0,+127,+3,+3.36845e-20-1.29252e-20i,+0.000702053+0.000393885i,+0.0524251+0.0561205i
+0,+128,+3,+3.74165e-20-1.39936e-20i,+0.000731006+0.000368902i,+0.0530323+0.0545753i
+0,+129,+3,+4.09192e-20-1.48961e-20i,+0.000758032+0.000345317i,+0.053613+0.0530204i
+0,+130,+3,+4.41968e-20-1.5652e-20i,+0.000783166+0.000322992i,+0.0541672+0.051457i
+0,+131,+3,+4.7254e-20-1.6279e-20i,+0.000806449+0.000301803i,+0.0546948+0.0498861i
+0,+132,+3,+5.00967e-20-1.67935e-20i,+0.000827926+0.000281634i,+0.0551956+0.0483087i
+0,+133,+3,+5.2731e-20-1.72102e-20i,+0.000847648+0.000262382i,+0.0556697+0.0467257i
+0,+134,+3,+5.14072e-20+3.92548e-20i,+0.000839544+0.00064108i,+0.0562494+0.0429523i
+0,+135,+3,+5.14846e-20+3.75558e-20i,+0.000840807+0.000613332i,+0.0567545+0.0413999i
+0,+136,+3,+5.15319e-20+3.58813e-20i,+0.00084158+0.000585986i,+0.0572274+0.039847i
+0,+137,+3,+5.15498e-20+3.42313e-20i,+0.000841873+0.000559039i,+0.0576683+0.0382942i
+0,+138,+3,+5.15391e-20+3.26057e-20i,+0.000841697+0.000532492i,+0.0580771+0.036742i
+0,+139,+3,+5.15002e-20+3.10046e-20i,+0.000841063+0.000506344i,+0.0584539+0.0351909i
